name,weight_plf,A,d,bf,tf,tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,bf_2tf,h_tw,rts,ho
W12X45,45.0,13.1,12.1,8.05,0.575,0.335,348.0,64.2,57.7,5.15,50.0,19.0,12.4,1.95,1.26,1650.0,7.0,29.6,2.2311336205395524,11.525
W10X45,45.0,13.3,10.1,8.02,0.62,0.35,248.0,54.9,49.1,4.32,53.4,20.3,13.3,2.01,1.51,1200.0,6.47,22.5,2.2705960588935428,9.48
W16X45,45.0,13.3,16.1,7.04,0.565,0.345,586.0,82.3,72.7,6.65,32.8,14.5,9.34,1.57,1.11,1990.0,6.23,41.1,1.8746255184983172,15.535000000000002
W18X46,46.0,13.5,18.1,6.06,0.605,0.36,712.0,90.7,78.8,7.25,22.5,11.7,7.43,1.29,1.22,1720.0,5.01,44.6,1.5800274516066835,17.495
W14X48,48.0,14.1,13.8,8.03,0.595,0.34,484.0,78.4,70.2,5.85,51.4,19.6,12.8,1.91,1.45,2240.0,6.75,33.6,2.1985392747350145,13.205
W8X48,48.0,14.1,8.5,8.11,0.685,0.4,184.0,49.0,43.2,3.61,60.9,22.9,15.0,2.08,1.96,931.0,5.92,15.9,2.3477393005543084,7.8149999999999995
W21X48,48.0,14.1,20.6,8.14,0.43,0.35,959.0,107.0,93.0,8.24,38.7,14.9,9.52,1.66,0.803,3950.0,9.47,53.6,2.050385589508041,20.17
W10X49,49.0,14.4,10.0,10.0,0.56,0.34,272.0,60.4,54.6,4.35,93.4,28.3,18.7,2.54,1.39,2070.0,8.93,23.1,2.8378078391695465,9.44
W21X50,50.0,14.7,20.8,6.53,0.535,0.38,984.0,110.0,94.5,8.18,24.9,12.2,7.64,1.3,1.14,2570.0,6.1,49.4,1.6361277600803914,20.265
W12X50,50.0,14.6,12.2,8.08,0.64,0.37,391.0,71.9,64.2,5.18,56.3,21.3,13.9,1.96,1.71,1880.0,6.31,26.8,2.25112207609774,11.559999999999999
W16X50,50.0,14.7,16.3,7.07,0.63,0.38,659.0,92.0,81.0,6.68,37.2,16.3,10.5,1.59,1.52,2270.0,5.61,37.4,1.8940859816697688,15.67
W18X50,50.0,14.7,18.0,7.5,0.57,0.355,800.0,101.0,88.9,7.38,40.1,16.6,10.7,1.65,1.24,3040.0,6.57,45.2,1.9817716372275571,17.43
W14X53,53.0,15.6,13.9,8.06,0.66,0.37,541.0,87.1,77.8,5.89,57.7,22.0,14.3,1.92,1.94,2540.0,6.11,30.9,2.218260694333641,13.24
W12X53,53.0,15.6,12.1,10.0,0.575,0.345,425.0,77.9,70.6,5.23,95.8,29.1,19.2,2.48,1.58,3160.0,8.69,28.1,2.7916489022226565,11.525
W10X54,54.0,15.8,10.1,10.0,0.615,0.37,303.0,66.6,60.0,4.37,103.0,31.3,20.6,2.56,1.82,2320.0,8.15,21.2,2.854339826194087,9.485
