name,weight_plf,A,Ht,B,tnom,tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C,b_tdes,h_tdes
HSS2-1/2X2-1/2X1/4,7.11,1.97,2.5,2.5,0.25,0.233,1.63,1.63,1.3,0.908,1.63,1.63,1.3,0.908,2.79,2.35,7.73,7.73
HSS4-1/2X4-1/2X1/8,7.31,2.0,4.5,4.5,0.125,0.116,6.35,3.27,2.82,1.78,6.35,3.27,2.82,1.78,9.92,4.45,35.8,35.8
HSS3-1/2X3-1/2X3/16,8.15,2.24,3.5,3.5,0.1875,0.174,4.05,2.76,2.31,1.35,4.05,2.76,2.31,1.35,6.56,3.83,17.1,17.1
HSS5X5X1/8,8.16,2.23,5.0,5.0,0.125,0.116,8.8,4.07,3.52,1.99,8.8,4.07,3.52,1.99,13.7,5.53,40.1,40.1
HSS2-1/2X2-1/2X5/16,8.45,2.35,2.5,2.5,0.3125,0.291,1.82,1.88,1.46,0.88,1.82,1.88,1.46,0.88,3.2,2.74,5.59,5.59
HSS3X3X1/4,8.81,2.44,3.0,3.0,0.25,0.233,3.02,2.48,2.01,1.11,3.02,2.48,2.01,1.11,5.08,3.52,9.88,9.88
HSS5-1/2X5-1/2X1/8,9.01,2.46,5.5,5.5,0.125,0.116,11.8,4.95,4.3,2.19,11.8,4.95,4.3,2.19,18.3,6.72,44.4,44.4
HSS4X4X3/16,9.42,2.58,4.0,4.0,0.1875,0.174,6.21,3.67,3.1,1.55,6.21,3.67,3.1,1.55,10.0,5.07,20.0,20.0
HSS6X6X1/8,9.86,2.7,6.0,6.0,0.125,0.116,15.5,5.92,5.15,2.39,15.5,5.92,5.15,2.39,23.9,8.03,48.7,48.7
HSS3-1/2X3-1/2X1/4,10.51,2.91,3.5,3.5,0.25,0.233,5.04,3.5,2.88,1.32,5.04,3.5,2.88,1.32,8.35,4.92,12.0,12.0
HSS3X3X5/16,10.58,2.94,3.0,3.0,0.3125,0.291,3.45,2.9,2.3,1.08,3.45,2.9,2.3,1.08,5.94,4.18,7.31,7.31
HSS4-1/2X4-1/2X3/16,10.7,2.93,4.5,4.5,0.1875,0.174,9.02,4.71,4.01,1.75,9.02,4.71,4.01,1.75,14.4,6.49,22.9,22.9
HSS7X7X1/8,11.56,3.16,7.0,7.0,0.125,0.116,24.8,8.13,7.09,2.8,24.8,8.13,7.09,2.8,38.2,11.0,57.3,57.3
HSS5X5X3/16,11.97,3.28,5.0,5.0,0.1875,0.174,12.6,5.89,5.03,1.96,12.6,5.89,5.03,1.96,19.9,8.08,25.7,25.7
HSS3X3X3/8,12.17,3.39,3.0,3.0,0.375,0.349,3.78,3.25,2.52,1.06,3.78,3.25,2.52,1.06,6.64,4.74,5.6,5.6
HSS4X4X1/4,12.21,3.37,4.0,4.0,0.25,0.233,7.8,4.69,3.9,1.52,7.8,4.69,3.9,1.52,12.8,6.56,14.2,14.2
HSS3-1/2X3-1/2X5/16,12.7,3.52,3.5,3.5,0.3125,0.291,5.84,4.14,3.34,1.29,5.84,4.14,3.34,1.29,9.89,5.9,9.03,9.03
HSS5-1/2X5-1/2X3/16,13.25,3.63,5.5,5.5,0.1875,0.174,17.0,7.19,6.17,2.16,17.0,7.19,6.17,2.16,26.7,9.85,28.6,28.6
HSS8X8X1/8,13.26,3.62,8.0,8.0,0.125,0.116,37.4,10.7,9.34,3.21,37.4,10.7,9.34,3.21,57.3,14.4,66.0,66.0
HSS4-1/2X4-1/2X1/4,13.91,3.84,4.5,4.5,0.25,0.233,11.4,6.06,5.08,1.73,11.4,6.06,5.08,1.73,18.5,8.44,16.3,16.3
HSS6X6X3/16,14.53,3.98,6.0,6.0,0.1875,0.174,22.3,8.63,7.42,2.37,22.3,8.63,7.42,2.37,35.0,11.8,31.5,31.5
HSS3-1/2X3-1/2X3/8,14.72,4.09,3.5,3.5,0.375,0.349,6.49,4.69,3.71,1.26,6.49,4.69,3.71,1.26,11.2,6.77,7.03,7.03
HSS4X4X5/16,14.83,4.1,4.0,4.0,0.3125,0.291,9.14,5.59,4.57,1.49,9.14,5.59,4.57,1.49,15.3,7.91,10.7,10.7
HSS9X9X1/8,14.96,4.09,9.0,9.0,0.125,0.116,53.5,13.6,11.9,3.62,53.5,13.6,11.9,3.62,82.0,18.3,74.6,74.6
HSS5X5X1/4,15.62,4.3,5.0,5.0,0.25,0.233,16.0,7.61,6.41,1.93,16.0,7.61,6.41,1.93,25.8,10.5,18.5,18.5
HSS4-1/2X4-1/2X5/16,16.96,4.68,4.5,4.5,0.3125,0.291,13.5,7.27,6.0,1.7,13.5,7.27,6.0,1.7,22.3,10.2,12.5,12.5
HSS7X7X3/16,17.08,4.67,7.0,7.0,0.1875,0.174,36.0,11.9,10.3,2.77,36.0,11.9,10.3,2.77,56.1,16.2,37.2,37.2
HSS4X4X3/8,17.27,4.78,4.0,4.0,0.375,0.349,10.3,6.39,5.13,1.47,10.3,6.39,5.13,1.47,17.5,9.14,8.46,8.46
HSS5-1/2X5-1/2X1/4,17.32,4.77,5.5,5.5,0.25,0.233,21.7,9.32,7.9,2.13,21.7,9.32,7.9,2.13,34.8,12.9,20.6,20.6
HSS6X6X1/4,19.02,5.24,6.0,6.0,0.25,0.233,28.6,11.2,9.54,2.34,28.6,11.2,9.54,2.34,45.6,15.4,22.8,22.8
HSS5X5X5/16,19.08,5.26,5.0,5.0,0.3125,0.291,19.0,9.16,7.62,1.9,19.0,9.16,7.62,1.9,31.2,12.8,14.2,14.2
HSS8X8X3/16,19.63,5.37,8.0,8.0,0.1875,0.174,54.4,15.7,13.6,3.18,54.4,15.7,13.6,3.18,84.5,21.3,43.0,43.0
HSS4-1/2X4-1/2X3/8,19.82,5.48,4.5,4.5,0.375,0.349,15.3,8.36,6.79,1.67,15.3,8.36,6.79,1.67,25.7,11.9,9.89,9.89
HSS5-1/2X5-1/2X5/16,21.21,5.85,5.5,5.5,0.3125,0.291,25.9,11.3,9.43,2.11,25.9,11.3,9.43,2.11,42.2,15.7,15.9,15.9
HSS4X4X1/2,21.63,6.02,4.0,4.0,0.5,0.465,11.9,7.7,5.97,1.41,11.9,7.7,5.97,1.41,21.0,11.2,5.6,5.6
HSS9X9X3/16,22.18,6.06,9.0,9.0,0.1875,0.174,78.2,20.0,17.4,3.59,78.2,20.0,17.4,3.59,121.0,27.1,48.7,48.7
HSS5X5X3/8,22.37,6.18,5.0,5.0,0.375,0.349,21.7,10.6,8.68,1.87,21.7,10.6,8.68,1.87,36.1,14.9,11.3,11.3
HSS7X7X1/4,22.42,6.17,7.0,7.0,0.25,0.233,46.5,15.5,13.3,2.75,46.5,15.5,13.3,2.75,73.5,21.3,27.0,27.0
HSS6X6X5/16,23.34,6.43,6.0,6.0,0.3125,0.291,34.3,13.6,11.4,2.31,34.3,13.6,11.4,2.31,55.4,18.9,17.6,17.6
HSS10X10X3/16,24.73,6.76,10.0,10.0,0.1875,0.174,108.0,24.8,21.6,4.0,108.0,24.8,21.6,4.0,167.0,33.6,54.5,54.5
HSS5-1/2X5-1/2X3/8,24.93,6.88,5.5,5.5,0.375,0.349,29.7,13.1,10.8,2.08,29.7,13.1,10.8,2.08,49.0,18.4,12.8,12.8
HSS4-1/2X4-1/2X1/2,25.03,6.95,4.5,4.5,0.5,0.465,18.1,10.2,8.03,1.61,18.1,10.2,8.03,1.61,31.3,14.8,6.68,6.68
HSS8X8X1/4,25.82,7.1,8.0,8.0,0.25,0.233,70.7,20.5,17.7,3.15,70.7,20.5,17.7,3.15,111.0,28.1,31.3,31.3
HSS6X6X3/8,27.48,7.58,6.0,6.0,0.375,0.349,39.5,15.8,13.2,2.28,39.5,15.8,13.2,2.28,64.6,22.1,14.2,14.2
HSS7X7X5/16,27.59,7.59,7.0,7.0,0.3125,0.291,56.1,18.9,16.0,2.72,56.1,18.9,16.0,2.72,89.7,26.1,21.1,21.1
HSS5X5X1/2,28.43,7.88,5.0,5.0,0.5,0.465,26.0,13.1,10.4,1.82,26.0,13.1,10.4,1.82,44.6,18.7,7.75,7.75
HSS9X9X1/4,29.23,8.03,9.0,9.0,0.25,0.233,102.0,26.2,22.7,3.56,102.0,26.2,22.7,3.56,159.0,35.8,35.6,35.6
